"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
4521429551239081,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Alumnos FIM:

Del día 3 al 5 de enero del 2022 se pueden realizar pagos para presentar exámenes extraordinarios para aquellos alumnos que no lo pudieron solicitar en el mes de diciembre y las calificaciones se generarán por la modalidad de actas complementarias y debe entregar ó enviar al docente el recibo de pago. Gracias.",0,"01/03/2022 19:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid0AzPmrRiBGAYqZbZUWF9YMiu7TteQBUvuEZfQKKDZT2DciQpwuHR3Jm5Zm3oGbEzYl,0,0,Texto,,,,,Total,49,46,10,5,0,5,0,,,,,,,,,
4541179652597404,422553107793433,"Facultad de Ingeniería UABC Mexicali","UNISER A.C.","📌CURSOS DE LENGUAS EXTRANJERAS CICLO 2022-1 
Se impartirán en LÍNEA 💻 Del 8 de FEBRERO al 28 de MAYO del 2022
REGISTRO EN LÍNEA ✅ A partir del 17 de ENERO del 2022
http://admisiones.celexbc.com.mx/

https://www.facebook.com/360131767515312/posts/1716836035178205/",0,"01/10/2022 17:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid026da6dGErVc9RE8vGxfMFVnLR3zJ6VrhRFpBnKLRE4iEH5Pj99BUxc34TMZ1tXiBml,0,1,Otro,,,,,Total,58,53,8,7,0,1,6,4,,2,,,,,,
4543521549029881,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"01/11/2022 13:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid021TTkgLEBLXjKakgD3Gii1HN8sDmf67NQpyJVaCpMqB8u3m8bTQPomBAi3APbuWAjl,0,0,Foto,,,,,Total,151,122,27,13,5,9,1,1,,,,,,,,
4543998048982231,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Alumnos FIM :
La fecha de pago de recibo cambió, será del 
 17 al 25 de enero.",0,"01/11/2022 17:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02VCzy21sXohpj1pHb7NFnf3ZEkAYy2XRmj3xkM8yF8BcKpT4bQiEQ3UKUzosyvK9ql,0,0,Texto,,,,,Total,142,121,86,67,11,8,1,1,,,,,,,,
4554935271221842,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"01/14/2022 12:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02V6zcQ712ax4TiyvdMAiw9mEq2hgAjeDrTccFNrd2ULQVPGSUZMhZuQoXLXLSoi7el,0,0,Foto,,,,,Total,17,17,10,9,0,1,0,,,,,,,,,
4554935911221778,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Alumnos FIM
Enlace de inscripción: https://fundacionuabc.org/prohibido-rendirse-2022/",0,"01/14/2022 12:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02PbZ7hJQF6zfLAAopohbFiFgxxrujVoRmpSPRpUPURN3b3vDvoc4m71tFcFEeJWzql,0,0,Foto,,,,,Total,31,30,7,6,0,1,0,,,,,,,,,
4581606825221353,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Infografía sobre Alimentación Saludable elaborada por el alumno Kened Yair Díaz Salazar dentro del programa de servicio social comunitario Vida Sana en la FIM supervisado por la Dra. Mónica Isabel Soto Tapiz.",0,"01/20/2022 13:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid0bg2eUSAs6jnMqYT48pGNo66s1F7GrhyxYQPRbFncqy4mnLFt3i9DnVBtaCH7ek4Rl,0,0,Foto,,,,,Total,50,44,24,22,0,2,0,,,,,,,,,
4584599751588727,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"01/21/2022 06:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid0261y9qCCKqzc8fU7JBSsHgEyUFGchmDLne11DRKVntQQ4ZLGu2YQMzg9FKGiD3Erfl,0,0,Enlace,,,,,Total,14,14,0,0,0,0,0,,,,,,,,,
4587470414634994,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"01/21/2022 22:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02jmxbDHtvSWhWGKrVFiWrVoD4VYAz1f6aExYRHXyFnKu8AEbXPAZwjFnNdTNp4sHbl,0,0,Foto,,,,,Total,27,26,7,4,2,1,0,,,,,,,,,
4599581426757226,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"01/24/2022 13:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02EhRkZVXMdUf5J5zbbT9wf8Wjr9zAWECDdtMUw7eiF26p5rtsPou2S9Sg8pWfmPYYl,0,0,Foto,,,,,Total,90,85,73,38,31,4,24,21,,3,,,,,,
4599785553403480,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Convocatoria del programa ENLACE UCSD-UABC-FUABC",0,"01/24/2022 15:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid0sD81zeVK5NTqiQbv2RJPhs2cTkGRzmzj1UH4d238SFBDWBJzitxVowSqF5WoiVjAl,0,0,Foto,,,,,Total,50,46,9,6,0,3,2,1,1,,,,,,,
4608762149172487,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/1428471490787415/posts/2776705149297369/,0,"01/26/2022 14:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid02v6kw8X7Ch5fcUPjYcUVBEN4CSNdaAxZCwwh19bRF9TWiiHSWcnsHPGiHkRDjykRvl,0,1,Foto,,,,,Total,25,25,2,2,0,0,0,,,,,,,,,
4608810902500945,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"01/26/2022 15:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid033s2nS7szMsybKdfhL7mxw4UPLRiXhvJbHe9LC6WLiZ2oAymW75AVE8zgr26uXCZMl,0,0,Foto,,,,,Total,31,29,4,2,0,2,1,1,,,,,,,,
4609972565718112,422553107793433,"Facultad de Ingeniería UABC Mexicali","Ceremonia de Bienvenida a Alumnos de Nuevo Ingreso 2022-1",https://www.facebook.com/events/462470948737884/,0,"01/26/2022 21:01",N/A,https://www.facebook.com/fimuabc/posts/pfbid034TDPFZ7SwaWKoA5cA4Y7dADtxfxmdqMsMAXDVe7v3uNUyxePwrKW9eCCqrdmTT9Rl,0,0,Enlace,,,,,Total,21,21,2,2,0,0,1,,,1,,,,,,
