"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Comentarios negativos de los usuarios: Ocultar"
4803242959724404,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/04/2022 15:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02CywJprxftSaUg92atNWZ312F69KdnRpWAkiiGfAmxfYwuj2XAV6uXmyzSPT4ontKl,0,0,Foto,,,,,Total,157,133,23,18,3,2,2,2,,,
4803378366377530,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/04/2022 16:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0HvWGmtHTMig38CQN6MGwTZK5yo1F5DC9NChkpZ36MNBZAqvHziDht4unT7famkJyl,0,0,Foto,,,,,Total,63,60,1,0,0,1,0,,,,
4803379683044065,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Comunidad FIM, cordialmente invitados:

Enlace:

meet.google.com/api-qmcf-ptv",0,"04/04/2022 16:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid04XuseiN5isLSGLbwxdUxEmARjf8KZPYTYGeMiEh882M7RiRujf2ANRqb9J1VR5KBl,0,0,Foto,,,,,Total,60,56,4,4,0,0,3,3,,,
4803719996343367,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/04/2022 19:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid035cbaSbnPk1wYePrGD7c7sPifXTphTno3cHnNkPS5gJ8cAx5P4UWam4tQUE4SpX8nl,0,0,Foto,,,,,Total,58,55,0,0,0,0,1,,1,,
4805235046191862,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/05/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0zpz7PQWMRSBq67y7zMAtALLS1Aa3iAbNJMAQujA29gc2ii4wJ8FYnmaE1Y4J1XJal,0,0,Foto,,,,,Total,84,81,5,2,0,3,1,,1,,
4810629512319082,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/07/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid073i1hGwD6YiezmQtyGaEg9PYX5ktHVB1TcCWHQGm8KKDhKjANV9yN3AHFSacZUdfl,0,0,Foto,,,,,Total,59,56,3,2,1,0,0,,,,
4813314428717257,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/08/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02L2GohQGuDqXDRUEVpaX8tgjaAvGDyciBvyqDCco4K1zCPaNKcPfbqF63cQuz4JoJl,0,0,Foto,,,,,Total,64,60,13,11,1,1,3,1,2,,
4813314972050536,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/08/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid026XnPLXEoHscoo9bHSnA9Wx5JunxnBB5SYyW2Pue1dEGd29C6FvXJNWUB5UgWzwuRl,0,0,Foto,,,,,Total,63,60,2,2,0,0,1,,1,,
4813951971986836,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Alumnos FIM: 

Enlace de Inscripción: 

https://forms.gle/dhxiVTkvREsP1Tt5A",0,"04/08/2022 15:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0PDpfzC7FnmzghdsWMRvamujKKxWZ9PbkqSqLpapEuZetKAkb4zcT5cJZasEjehUzl,0,0,Foto,,,,,Total,66,63,1,0,1,0,1,1,,,
4813998001982233,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Liga de registro: https://docs.google.com/forms/d/e/1FAIpQLSdkqMr3TFlexlukboTqG3YaAR899Zw9EYGyzOWkCC_3vlhP8w/viewform

Al inscribirse, se le enviará al participante la liga de acceso Zoom un día antes de cada evento. 
*Este evento puede servir para el programa 8=1.",0,"04/08/2022 16:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid04rG1xmADh2Q6y1fiJidEkqSY5wbr6WHx9rQY2w9L48AX1kLsU4iCkAQ4g1J1Rnexl,0,0,Foto,,,,,Total,67,64,1,1,0,0,0,,,,
4838589586189741,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Actividad reprogramada para el día miércoles 20 de abril, en el mismo horario indicado. Gracias.",0,"04/18/2022 08:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02AKqmgu2fxRkEBrcBDqvksSZ7nPE9XioTDQeWcwULU2ebR3rCcyne4swbXcVy418Wl,0,0,Foto,,,,,Total,68,65,0,0,0,0,0,,,,
4839007609481272,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Comunidad FIM:",0,"04/18/2022 12:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0TZzJt9nsQ52hDzFAePxveDLVTMqP2CH2k3VMKCprW9wkc87GLVVZfL3i7VepciRCl,0,0,Foto,,,,,Total,71,66,1,1,0,0,0,,,,
4839008806147819,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención alumnos:",0,"04/18/2022 12:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02z9LmPrH6q8cguwc1db9uamtcg2CxSbHJ3TKNorrUXJsqQfqLqeUHMFemUvDSAdTrl,0,0,Foto,,,,,Total,72,66,3,3,0,0,0,,,,
4839011246147575,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Alumnos FIM, cordialmente invitados todos los jueves en el horario y lugar indicado de la imagen.",0,"04/18/2022 12:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0vNNnLiw8t115Gm3gNhgz2xqi2H73D58jBAdq4ZPxtTsyzmmJDdfHbwuuvFCAytqzl,0,0,Foto,,,,,Total,98,91,6,5,0,1,1,1,,,
4839157709466262,422553107793433,"Facultad de Ingeniería UABC Mexicali",Home,"Atención Alumnos FIM :
Bauhaus-Universität Weimar (Alemania). Cada año la universidad organiza una escuela de verano con diversas áreas de estudio, lo cual podría ser de interés para alguno de los estudiantes de la UABC (tanto de licenciatura como de posgrado, e incluso algunos investigadores), ya sea por el contenido temático o por la relevancia cultural e histórica de la universidad y el movimiento que representa.

 

Es posible que las fechas del evento no coincidan con el periodo vacacional del Sistema educativo mexicano, sin embargo podría ser de interés para algunos estudiantes/investigadores. La información en relación a costos, hospedaje y cursos ofertados puede ser consultada en: https://www.uni-weimar.de/summerschool/en/",0,"04/18/2022 14:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid031NDeqP6qLkhS4TABGeep76h4b4QGkk8a3k7H5BK5CVS25Cs7spagWnCrfg7aVKiUl,0,0,Enlace,,,,,Total,73,67,2,1,1,0,0,,,,
4839158279466205,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/18/2022 14:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0jR6o8a12iWYLKUf5xCCqszTMhwkTo9NLEW9wsudsFVDCg5U8pYhA8nTHXqXFjgADl,0,0,Foto,,,,,Total,78,72,5,4,0,1,1,,1,,
4843884548993578,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Comunidad FIM se están aplicando vacunas para alumnos y maestros en el teatro universitario hoy y mañana.",0,"04/20/2022 10:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0NBksSj1DByLtQLq4SoKe5GntQ9daLocCmUzMYS2fiSFpapgvXnuWQ68bHv4i93fql,0,0,Foto,,,,,Total,85,79,16,12,2,2,0,,,,
4848865741828792,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Wording 

¡Únete a nuestro equipo #futureshaper, reconocido por su liderazgo, innovación y diversidad! 

Invitamos a todxs lxs alumnxs de todas las licenciaturas a unirse a nuestra última sesión del Career Unboxing 2022 Conviértete en un #Futureshaper este jueves 5 de mayo a las 4:00 PM tiempo Ciudad de México, a través de Microsoft Teams. 

*Favor de registrar tu asistencia. 

  

Haz clic aquí para registrarte: Microsoft Forms 

 

Haz clic para unirte a la reunión",0,"04/22/2022 08:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0UFrHc8GcFbwCaivpK9YxumVHEa95Q54ydVnD23nBif8gK8VXF5LRRNMTWTtQAw52l,0,0,Foto,,,,,Total,78,73,1,1,0,0,0,,,,
4849225665126133,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"""¡Atención alumnos potenciales a egresar y egresados! Ya está disponible el programa de la 2da. Jornada Virtual para Egresados, donde se presentarán las diferentes áreas que dan apoyo a sus trámites académicos, así como dar a conocer las opciones de educación continua e inserción laboral. Los invitamos a participar.""
#lafimcercadeti",0,"04/22/2022 12:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid035ytk67xSmypuFKbGoRbfpVXgfNuFPZtK74nYx95bqEeeP7FWAjWf9FxwSpwkE2Akl,0,0,Foto,,,,,Total,93,87,2,2,0,0,2,,2,,
4849717921743574,422553107793433,"Facultad de Ingeniería UABC Mexicali","Extensión de Plazo","Atención Alumnos FIM Convocatoria de extensión de plazo, el trámite se encuentra abierto:
https://ingenieria.mxl.uabc.mx/index.php/extension-de-plazo",0,"04/22/2022 16:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0yJxkr4C1A3NtSF3L9ndwcBQtDVbuUNKt2nQK7RXFVkgPUaWLGtvsaBzyzVQdYBbzl,0,0,Enlace,,,,,Total,79,74,0,0,0,0,1,1,,,
4851603398221693,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Atención Comunidad FIM, cordialmente invitados:",0,"04/23/2022 10:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02TFK5X3C9NhP8t9mF5Ao4kHoGteh1F2jM11J2Lj8YcJbCKuZKhHmUnD9XnoRac5Kzl,0,0,Foto,,,,,Total,82,76,1,1,0,0,0,,,,
4856765157705517,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El programa educativo de Licenciado en Sistemas Computacionales y el Subcomité Académico por Campo de Conocimiento de Computación del programa de Maestría y Doctorado en Ciencias e Ingeniería los invitamos al Seminario Semestral Píldoras i+D con la conferencia:
Importancia de Conversaciones en la Ingeniería de Software  con la participación de la Dra. Hanna Oktaba, experta en Ingeniería de Software quien pertenece a la Facultad de Ciencias de la UNAM.

Fecha y hora: 29 de abril de 12:00 a 13:00 hrs (PST)

Transmisión en línea desde los siguientes enlaces:
meet.google.com/vzi-bpri-udh
www.facebook.com/LSC.FIM.UABC",0,"04/25/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid08hvRwprezRCJyj85H43WGZaQoiJe5k2SivcjsgCzy7Mrr2BKGuQkhPkdfGZ38JZ7l,0,0,Foto,,,,,Total,99,93,3,2,0,1,0,,,,
4856767154371984,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/25/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid05ZKftxwUktgeECRLkE1D8LsW52yGQXzMxjnKprWW27JBsqr6pY6msmHWwi26qU7kl,0,0,Foto,,,,,Total,93,87,1,0,0,1,0,,,,
4859781714070528,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"📌CONVOCATORIA CURSOS INTERSEMESTRALES DE LENGUAS EXTRANJERAS 2022-4
Se impartirán del 6 al 30 de junio de 2022
Dirigidos al público en general.
Regresa modalidad PRESENCIAL, y también habrá algunos grupos en línea.
👉http://admisiones.celexbc.com.mx:81/html/jpa/index.php/cursos-de-lenguas/intersemestrales?fbclid=IwAR0y4c7VCwY1Vkkj6fZCiIcG_wYE2gHnZgi5xFKAxZtR3nvv-5TOv5KN8QA",0,"04/26/2022 12:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid04cpusqKwVtPuxy78jQRtuuAHeXCZrAXigAiiWrcWP9exejXmcFR8euW25TKXXvPZl,0,0,Foto,,,,,Total,194,174,4,3,0,1,2,,1,1,
4860290587352974,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0f3QWK1PfxJUd3SYFZBBPape3J7A5AVU8fuzvPCdLBtK24cGyQLP664xK66k1Lr29l,0,0,Foto,,,,,Total,82,77,3,3,0,0,0,,,,
4860292180686148,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0X1jY2qCfPP3Yj5jHZMNwe6qgC3aHQEHmdBgRGxNoKku2jv74KQCHQVbZauPmiwm9l,0,0,Foto,,,,,Total,86,81,1,1,0,0,0,,,,
4860294507352582,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0cbejRwkCvoAmThyUpC9YJPyH5EqpHPnsTFFZfBAdJKWafvGKYiZCk4GF2YnunEGTl,0,0,Foto,,,,,Total,89,84,0,0,0,0,0,,,,
4860295434019156,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02WeDe9gcu4kQEVkjhP4RfSx35dbk1SuB1shQrWRSMsrTAYc8Ryft44v5DtQkvGzhhl,0,0,Foto,,,,,Total,88,83,0,0,0,0,0,,,,
4860296897352343,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02jaAVsQPGBEpCyy9pwj6eWSHa6EisCicP1VUKffDW4dS56pbckybSXyCjq8XQDniZl,0,0,Foto,,,,,Total,89,83,0,0,0,0,1,1,,,
4860298160685550,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02ksjkmefJcPg9xP2qBqttvzvsTBu7p3NnPZNBWeGBwjPpw23hKHCubuRxqPUZomSyl,0,0,Foto,,,,,Total,94,86,0,0,0,0,0,,,,
4860299844018715,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02r8S8o6NWmBokCYdjU1tyD8zUzQKLakLse69HRfqVXcznsAA27DE5WZQCmbbPue4Al,0,0,Foto,,,,,Total,95,89,0,0,0,0,0,,,,
4860300574018642,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0qvkSJdWnrbJDbd3MDvBsxxt8ZiKTxjpZ5FCU5vKPcsWuBDRuRAs5vDwtudjD5DNNl,0,0,Foto,,,,,Total,96,90,0,0,0,0,1,,1,,
4860301834018516,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02j3obT4Zv6A15s2z6Za1dmGrGMQ7hp2LpheHXBV3wSgMrEnJHMNZtcn7c9eZ7RSzQl,0,0,Foto,,,,,Total,100,94,0,0,0,0,2,2,,,
4860302457351787,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid07Jfo93LLHJanUukkx9CPQnYRowPe4Pi9kQfgMZhgubafHWAY17syrFBwDF5ZWRj7l,0,0,Foto,,,,,Total,101,95,0,0,0,0,0,,,,
4860303434018356,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Los Objetivos Educacionales (OE) son la visión de éxito de los egresados en el ejercicio de su profesión. Estos reflejan las expectativas de mediano plazo sobre las principales funciones profesionales, actividades y contribuciones de los egresados al campo de la ingeniería y de la sociedad, en forma congruente con la misión de nuestra Universidad.",0,"04/26/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0fRU1dwr9V5MdAiut5ASKSBc9wgBnJL6itAasKxJKhRMM7MfDPRwzBmUJL4FwQBFnl,0,0,Foto,,,,,Total,112,103,2,1,0,1,0,,,,
4863023050413061,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/27/2022 17:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02znFinMNvcwQBvwFvYHc9MwdksmPgvxZh3yNbe3T7k6NJWL3ALu8rxdP8ZnUxHzWwl,0,0,Foto,,,,,Total,150,136,2,1,0,1,0,,,,
4864994716882561,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/28/2022 10:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0TB48VbJCST3aj58YxhGyPjANFcYuomGxbHMxkBRgBNoCrzzNaBZ9qvw5xuSSuEkgl,0,0,Foto,,,,,Total,105,98,1,1,0,0,1,,1,,
4867460223302677,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/29/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Q1ULZfwx1eWV4MVznm2dZw5EfwgAgMgdDu3zw83ncdQioiYPUBaFWi2wUnMGvqAtl,0,0,Foto,,,,,Total,109,102,0,0,0,0,0,,,,
4867460549969311,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/29/2022 09:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid029SWgLQfVnJreaR9dViejpXfN31z2Ay1gkC75CPcgQ7bF6QKrPvy4LmuMoLE7aNyTl,0,0,Foto,,,,,Total,242,214,14,9,1,4,3,3,,,
4870613706320662,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"04/30/2022 14:04",N/A,https://www.facebook.com/fimuabc/posts/pfbid02z8Mkx2V8Ua3qntTK9iGCaZXC2iDfr6ipbZemQoGFqB6R7Z7zPkLkxPXZzHsfc3WMl,0,0,Foto,,,,,Total,111,105,0,0,0,0,0,,,,
4875934699121896,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"05/02/2022 15:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid02ptaEujkotnJTkfH4S4up5CPiMYwXrNmNPVV8ZaqVxsrQ6Cezsxfn6SNMamTL4EiRl,0,0,Foto,,,,,Total,121,113,0,0,0,0,0,,,,
4875937795788253,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"05/02/2022 15:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid0DRpYat6KW8H4GUnwef4VG1iGL6pjvnKzhujpRLe2nCgb5Zb99n1hTBZjnvgPjC2Pl,0,0,Foto,,,,,Total,144,133,1,0,0,1,0,,,,
4875938082454891,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"""AVISO IMPORTANTE ALUMNOS DE LA FACULTAD DE INGENIERÍA: se les informa que el periodo de evaluación de su tutor es del 2 al 27 de mayo en : tutorias.uabc.mx""",0,"05/02/2022 15:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid035UBqxzfkFvcuvew9WdzcXoKY8LJv7MYCkPBTd7FEtjG6sgPn2NoA8YAaQ5MorC9Cl,0,0,Foto,,,,,Total,237,213,3,1,0,2,0,,,,
4878459305536102,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"05/03/2022 13:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid0WvVVf6yUpfYaNz6oXBQvD4UFNw1HUR4PY6vzWsK1zkC9xJxcCoEbwLZFmboNFQZTl,0,0,Foto,,,,,Total,136,123,1,1,0,0,1,1,,,
4878459932202706,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El evento STAND OUT & GET HIRED IN US... se ha reprogramado para el día miércoles 4 de mayo a las 5:00pm a través de facebook.
https://www.facebook.com/EgresadosFIMUABC",0,"05/03/2022 13:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid0K9AVT1be1tDbJkHjKKTezhQX1MVA1gVXc3jJ682ayKw91YbasmupzsNpHfvs2A7El,0,0,Foto,,,,,Total,151,139,3,2,0,1,0,,,,
4878875668827799,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"05/03/2022 17:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid02hSyY4o3UyXwAC3XoxuWHT6X8g6EgWdHVHpBGxeK1NfKMnGBxsFZqPMhuyecodkzTl,0,0,Foto,,,,,Total,166,152,7,5,0,2,2,1,1,,
4878876822161017,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"05/03/2022 17:05",N/A,https://www.facebook.com/fimuabc/posts/pfbid033HqC4WSW8tBACFErdwtJNWKf8P4iDfwKSsLKxijEVii4TGpS9yGCANww6diULZ5dl,0,0,Foto,,,,,Total,180,160,5,4,0,1,0,,,,
