"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Comentarios negativos de los usuarios: Ocultar todo","Total de clics","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
5079207222127975,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"07/14/2022 11:07",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Lx1E37c1yjbSmodG5YycTAHn57oFzjZFTH7agfdBdMn8zy7os9k6Uw7Yz2R7Qbr3l,0,0,Foto,,,,,Total,4384,2912,57,57,0,0,,,49,44,,5,,,,,,
5044359622279402,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://www.facebook.com/349586429220665/posts/1180438832802083/,0,"07/01/2022 13:07",N/A,https://www.facebook.com/fimuabc/posts/pfbid0384a264wQdGyrkedg6Sew59L2A2TGLKFvPTNpo2FX2r5UFRBXif7AEWxvfLoYS1gLl,0,1,Foto,,,,,Total,6317,4299,56,45,0,11,,,259,235,,24,,,,,,
576526897601428,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/30/2022 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid028uw79fLbqagNRRLypryM2FDmnC2eE1hZKSu9UMsutdb2LSjkzV7fLkecnRQt8sdSl,0,0,Foto,,,,,Total,1393,1202,11,11,0,0,1,,9,7,,2,,,,,,
576526270934824,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/30/2022 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0itrFXfaZQ1UkYFtyNgL87EbuFQVXGsjPywkvbWDLj2yU5TPCNKseZXdGzdmLnA6Ml,0,0,Foto,,,,,Total,1648,1478,20,20,0,0,1,,16,15,,1,,,,,,
576509100936541,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://m.facebook.com/story.php?story_fbid=pfbid02HxgJW6Z5jstDjKyaw2ts5DzRX2FZYDJqYy83819q4kWfRWWMV6mhqmrXTKTQKrmrl&id=100064645961203,0,"09/30/2022 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid06efUVH3fNTKFedwCW6cwbemzTv99LSKbPHc1P7y5Qg2KczeTEwNUwXdmocJW2C3Zl,0,1,Foto,,,,,Total,2972,2616,48,46,2,0,1,,179,77,,102,,,,,,
576487304272054,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/30/2022 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02iL5wDeG1TDJiGhHryUXpB9CHbaersca5Y9HstMT62M8UEJXc2DFMVffVWf16Fbubl,0,0,Foto,,,,,Total,2878,2641,17,15,1,1,1,,288,31,,257,,,,,,
576331984287586,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://m.facebook.com/story.php?story_fbid=pfbid0PzNRiG7bowE74Y4r6VqMW3cV3G541rtbjtNBsLfTBokzhZpTXV6unkCyGVFn3HRhl&id=100064645961203,0,"09/30/2022 10:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0dNKQzqS2diL35ALhk7bXTe7LMH8x8ZvGydFMUPTc46A6mUVnyEr7dw3JxHp1dDHal,0,1,Foto,,,,,Total,2690,2501,12,11,0,1,1,,158,47,,111,,,,,,
575611731026278,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/29/2022 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0wrgF1ieJeFtr79Dyzr9c3wKBenD4okCynVfYbm8jdgmUwwdKF1gYtjW8aYhZHBKl,0,0,Foto,,,,,Total,1323,1207,2,1,0,1,1,,21,2,,19,,,,,,
575611511026300,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/29/2022 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Ga6KvNPGnhwtKxziCMKAyyV49ZYg7TsA3VqTLzFCaRqFEcN1GAuzWt8iT1EJiVpjl,0,0,Foto,,,,,Total,1297,1164,2,1,0,1,1,,13,5,,8,,,,,,
575383261049125,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Hola a todos los invitamos a la plática informativa de la empresa Masprint donde promocionarán sus programas de PP.

 La reunión será en la sala de usos múltiples del laboratorio de Ciencias Básicas de la FIM. El día de hoy 29 de septiembre a las 12:30 pm.",0,"09/29/2022 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Khi46AsNq3JcATg17SqnSh717uUio6f9XqSugPMo3vTCXwwtREoPmi9CSPbhKDirl,0,0,Foto,,,,,Total,1538,1428,3,3,0,0,1,,37,8,,29,,,,,,
