"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
608905607696890,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estudiantes de la carrera Ingeniero en Energías Renovables realizaron una visita Académica al CICESE en Ensenada. En el departamento de Energías Renovables de la División de Física Aplicada fueron recibidos por los investigadores Dr. Daniel Sauceda, Dr. Francisco Carranza y el Dr. Jassiel Rodríguez, donde pudieron ver dispositivos de aplicación sobre nano fluidos, aplicación de concentración solar, materiales sostenibles para almacenamiento de energía, techos verdes, instrumentación y control, entre otras. El grupo fue dirigido por los profesores Dr. Alejandro Lambert y la Dra. Marlene Zamora. Además, realizaron una actividad didáctica en la laguna costera "" Estero Punta Banda"" para analizar las posibilidades de extracción de energía renovable por el flujo mareal en la localidad.",0,"11/10/2022 16:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid0sUQob29m3m3kchEjWfAB5asv4G7dcRs8RdsxPpXDw8BMCMoMACJeAnpJEFLuYmMel,0,0,Foto,,,,,Total,5816,5385,151,133,10,8,,1067,505,562,,,,,,,
607978281122956,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El programa educativo de Licenciado en Sistemas Computacionales y el Subcomité Académico por Campo de Conocimiento de Computación del programa de Maestría y Doctorado en Ciencias e Ingeniería (MyDCI) los invitamos al Seminario Semestral Píldoras i+D con la conferencia:
""Segmentación y clasificación de masas en imágenes de mamografía"" con la participación del Dr. Raúl Cruz Barbosa, profesor-investigador de la Universidad Tecnológica de la Mixteca (UTM).
Fecha y hora: 11 de noviembre de 15:00 a 16:00 hrs (PST)
Nota: Asistir al Seminario Semestral Píldoras i+D  te permite obtener créditos (3 conferencias = 1 CR)
Transmisión en línea desde los siguientes enlaces:
meet.google.com/vzi-bpri-udh
Sistemas",0,"11/09/2022 10:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Zin333cQwzwjZPkuFtjQcwp8FRZEA6cPotBvU24whZjkXeP6mtHNRQwdqdowNSkal,0,0,Foto,,,,,Total,2106,1917,13,11,2,0,,48,40,6,2,,,,,,
647806793806771,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/31/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02kB7Qw2G3RBK5PpA6q1YYQdzW1LypaMbXcZKVNUjadz17f59i4h6nP62DTbJeYiBLl,0,0,Foto,,,,,Total,3471,2580,28,28,0,0,1,31,19,12,,,,,,,
642684420985675,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/25/2022 00:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02r4PmdbSrQuScqbgB9LS6mdyyVrYonDzEcxPX5Afp1VaZHhcmxoBiBm11vFRNiyVFl,0,0,Foto,,,,,Total,5037,3515,100,99,0,1,1,59,57,2,,,,,,,
642683487652435,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/24/2022 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02kcSwk3MkoLPqL7tuNF7uAKXLk1y1BnhmPoGSuHjPdrta7vwE7mhjnWeDUNtnx7Dbl,0,0,Foto,,,,,Total,3466,2477,12,12,0,0,1,14,11,3,,,,,,,
636428504944600,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La Facultad de Ingeniería extiende una afectuosa felicitación al Dr. Luis Enrique Palafox Maestre, por haber sido designado como próximo rector de nuestra casa de estudio. Enhorabuena y éxito durante su gestión.",0,"12/16/2022 17:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02evXNHnJcCFBky8YUBx9oQ2fdRRPMRSufDEh3EeENJvkcLkqauFGzcF4ue3qasJmel,0,0,Texto,,,,,Total,4693,3418,41,41,0,0,1,30,30,,,,,,,,
636182088302575,422553107793433,"Facultad de Ingeniería UABC Mexicali","Boletín FIM UABC Agosto-Octubre 2022-2","En cumplimiento al  Plan de Desarrollo de la Facultad de Ingeniería en su Política 8 Comunicación e Identidad Universitaria, les presentamos nuestro sexto  boletín informativo,  el cual se publicará periódicamente para mantener informada a nuestra comunidad de los acontecimientos más relevantes desarrollados como parte de la vida universitaria. 

Con esto estamos avanzando hacia el cumplimiento de nuestra acción específica:
8.1.1.1. Fomentar la difusión de eventos y acontecimientos relevantes de la FIM hacia el exterior y el interior a través de un portal web actualizado, boletín informativo y otros medios de comunicación.",0,"12/16/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0fXaj5J7XULVVmTHGXpHdbwshqCbTPXb7gDYmjmUT2Y3veGd2miE5seVERH2SoWq2l,0,0,Enlace,,,,,Total,3096,2204,3,3,0,0,1,19,2,,17,,,,,,
636175068303277,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La FIM se enorgullece en felicitar al alumno MANUEL GUZMÁN HERRERA por la obtención del grado DOCTORADO EN CIENCIAS, con el tema ""MODELADO Y DISEÑO DE UNA PRÓTESIS DE CADERA POR MEDIO DE ELEMENTO FINITO""  área: Mecánica. 
DIRECTOR DE TESIS: DR. EMMANUEL SANTIAGO DURAZO ROMERO.
 
¡Enhorabuena!",0,"12/16/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02rDtqwE7FBSB5Z4e5v7Fcja85P5W7N61jH34Jme5fgLRPJcqtXSBeVfpnUc73fhxWl,0,0,Foto,,,,,Total,7739,5921,298,213,81,4,2,1265,459,806,,,,,,,
636168294970621,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Mexicali, Baja California, 4 de noviembre del 2022.- INDEX Mexicali, presenta Beneficios e Impacto de formación Dual y Vinculación, en una conferencia realizada en la UABC.

El Ing. Joaquín Jiménez Arriaga, presidente de INDEX Mexicali, en el marco del 25 aniversario del PE de Ingeniero Industrial, impartió en la Facultad de Ingeniería de la UABC, la conferencia “Beneficios e Impacto esperado en la Industria del programa de formación Dual y la Vinculación”, esta fue impartida en el aula magna, que presentó un lleno a su capacidad de 100 participantes, donde la mayoría eran estudiantes.

Ante ellos el Ing. Joaquín Jiménez Arriaga, explica que el modelo del programa Dual se inició en Alemania en 1969 con el objetivo de fortalecer la vinculación entre la academia y la iniciativa privada. Posteriormente presenta la evolución de la vinculación en Mexicali, iniciando con el COMVIN (Comité de Vinculación de Mexicali)  en 1993 y donde el CISEM (Center of Innovation of Semiconductors) de Skyworks en 2018 inicia su implementación del modelo DUAL.

Indica que el programa Dual, busca el Desarrollo de talento en una evolución a los programas tradicionales y requiere mucho compromiso tanto de la empresa como de la institución educativa. Que busca el desarrollo no solo de las habilidades técnicas de los estudiantes, sino también de habilidades blandas de comunicación, liderazgo, trabajo en equipo, inglés y otras.

Actualmente se apuesta a la formación Dual y la Vinculación para abordar grandes problemas actuales: En México el 54% de los empleadores aseguran que no encuentran candidatos adecuados para llenar vacantes de carácter técnico; y también en México existen 38 millones de jóvenes de los cuales seis millones no trabajan ni estudian y cerca del 45% abandona la escuela antes de cumplir 15 años, con un 50% de nivel de deserción en el bachillerato.

En la próxima década México va a necesitar un 25% más de ingenieros y técnicos para afrontar el reto y la formación dual es uno de los pilares para afrontarla. Pues combina la enseñanza teórica con la práctica en empresas y es el futuro de cualquier país.

Un gusto para la UABC y la Facultad de Ingenería recibir a personalidades de tan alto prestigio en sus instalaciones;  donde se tuvieron 128 asistentes entre alumnos, docentes y publico en general

Se anexa el reporte de la encuesta de salida, donde se resalta que de los 128 asistentes, participaron alumnos de etapa disciplinaria y terminal, de los PE Ing. Industrial, Ing. Mecánica, Ing. Aeroespacial y Ciencias Administrativas,  donde se obtuvo en promedio: 56% de total interés en el tema presentado por parte de los asistentes; 56% señaló que adquirió nuevos conocimientos; y el 72% indicó que los expositores fueron claros en su presentación.

Este evento fue organizado por el PE de Ingeniero Industrial y los cuerpos académicos de ""Optimización de procesos productivos y sustentabilidad"" e ""Ingeniería Industrial y educación""",0,"12/16/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0PaF98rc1ZNSJwBBG2soibDE1UWxpe6TYderAduoRkvQK1xjfug4r8zKu729dERfWl,0,0,Foto,,,,,Total,4076,3014,5,5,0,0,,93,16,77,,,,,,,
636166908304093,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/16/2022 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0r4Pofahv1Egf1hWVfq461Np1pwsXWpKYNeNb1reWtSfZB16cERYcDrKgTZ1JezdYl,0,0,Foto,,,,,Total,5526,4235,13,8,2,3,,662,109,553,,,,,,,
