"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,IMPRESSION:UNIQUE_USERS,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio","Comentarios negativos de los usuarios: Ocultar todo"
693572335896883,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/09/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0DW5bx2AdYkdwyKJCgPUq3rSNtNGP5Q4VzyikkqJ68Uv1W1BxZ7ctXxm8Yf3RU3Y1l,0,0,Foto,,,,,Total,1945,1714,,3,2,0,1,,33,21,12,,,,,,,,
693595082561275,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/09/2023 10:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Ay5nhEHyxiTUuheU1rz1r1odF9bcfVS4BHFwXVHMouNeC1dVem7dyQSDS8ESAJ8Xl,0,0,Foto,,,,,Total,8275,7644,,395,384,7,4,,2074,637,1437,,,,,,,,
693761725877944,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"En el marco del Día Internacional de la Mujer, agradecemos al el Instituto de la Mujer del Estado de Baja California (INMUJER), quienes impartieron la conferencia ""Prevención de la Violencia Digital"" el día 8 de Marzo a la 1:00 pm y al Personal del Programa contra la Violencia de Género de la Secretaria de Salud del Gobierno de Baja California por impartir la conferencia ""Violencia en el Noviazgo"" el 8 de Marzo a las 11:00 am.

#todassomosfim",0,"03/09/2023 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid037KKf4aRZ9fGLyq8AKuV84zdt5wE7Ht6BFzUZcfmRruE4hV29VU1xzqBdGiC7QwARl,0,0,Foto,,,,,Total,6592,4349,,30,28,0,2,,780,516,264,,,,,,,,
693763619211088,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Clausura de la Tercera Generación de Ergonómicos de UABC-Index e inicio de la Cuarta Generación.
Se realizó la Ceremonia de Clausura de la 3ra generación de ergonómicos de UABC-Index e inicio de la 4ta generación. El pasado jueves 16 de febrero a las 16:30 en las instalaciones de INDEX Mexicali. 
Se contó con la presencia del Director del Comité Ambiental, Seguridad e Higiene de Index Mexicali: Ing. León Felipe Ruíz, Presidente de Index Mexicali : Ing. Joaquín Jiménez Arriaga , Presidente de la ""Sociedad de Ergonomistas de México"":  Dr. Carlos Espejo,  Presidente del ""Colegio Nacional de Ergonomía en México"" : Dr. Enrique de la Vega, Directora de la Facultad de Ingeniería, Campus Mexicali: Dra. Araceli Celina Justo López y Profesor Investigador del Programa Educativo Industrial: Dr. Carlos Raúl Navarro González.
Este diplomado resulta del esfuerzo conjunto del programa educativo de Ingeniería Industrial de la Facultad de Ingeniería, Index Mexicali, Sociedad de Ergonomistas de México y Colegio Nacional de Ergonomía en México. 
Felicitamos de manera especial a la Dra. Gabriela Jacobo Galicia docente de la FIM del Programa Educativo Industrial. 
¡ Enhorabuena para todos los  participantes y éxito para los que inician !.",0,"03/09/2023 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02ELZu1YjJUG3XKHfyLMdLTTMC7SxrMsxmUxMsMqrxsNeKzHauBZ1rFJfZdATKXaXfl,0,0,Foto,,,,,Total,4006,3612,,14,14,0,0,,240,195,45,,,,,,,,
693765462544237,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"03/09/2023 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid032RbTyHGB63Uoo4x1itHTvwLqpeT5iWfG79fGYiAXxrp6Q2dKaJxJppJzWFzC4gGkl,0,0,Foto,,,,,Total,2517,2204,,10,9,0,1,,65,52,13,,,,,,,,
693776942543089,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"En el marco del Día Internacional de la Mujer, el Taller de Música de la FIM en conjunto de la cantante Nora Haydee Zamora Castro de la Facultad de Ciencias Humanas, presentaron la Actividad Cultural: Espectáculo de Canto, donde se interpretaron diferentes canciones referentes a la fecha conmemorativa y posteriormente abriendo el micrófono a los invitados, dando la oportunidad de participar en el evento.

#todassomosfim",0,"03/09/2023 17:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid029wLuPuuzsgyer3enJpTnBcdBYcgGRUX187nGCEMm8ASzsRiiAwVvhs6fTeR5oW4ml,0,0,Foto,,,,,Total,8580,7580,,147,115,28,4,,1600,1243,357,,,,,,,,
694179939169456,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"03/10/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02kkRN856QQgCyAvoa6GMZedpZ3BerYaDJ8RKFWkPFpNE8Z73YGiifZKnceFGMWS5ml,0,1,Foto,,,,,Total,4848,4578,,17,8,5,4,,230,114,116,,,,,,,,
694180589169391,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"03/10/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0XHZy6yztAAinFY6rbp5jLDqxmPtVsEarzbuCb2w5t8YYa8xfb2E93Djryb4tkuHul,0,1,Foto,,,,,Total,5590,5255,,14,10,3,1,,526,276,188,62,,,,,,,
694269699160480,422553107793433,"Facultad de Ingeniería UABC Mexicali","Ingenieros recuerdan a su maestra Gloria",https://www.lavozdelafrontera.com.mx/local/ingenieros-recuerdan-a-su-maestra-gloria-9729532.html,0,"03/10/2023 12:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0MQKrCR2xzBazrcqPMoXGTKbT9DUV2mvSeujamszWE9uwuSmicxFVsqUJbYNLL6wXl,0,0,Enlace,,,,,Total,2487,2261,,12,12,0,0,,83,,15,68,,,,,,,
694451135809003,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy, 10 de marzo de 2023, estudiantes y docentes del Programa Educativo (PE) de Ingeniería Civil, que representan al Instituto Americano del Concreto (ACI por sus siglas en inglés), presentado por el Presidente Jhovanny Ortiz, estudiante del PE de Ingeniería Civil, en compañia de sus Asesores Docentes José Manuel Gutierrez y Cynthia Martinez en el Capítulo Estudiantil de la UABC, realizaron las presentaciones a la Directora de la FIM, Dra. Araceli Celina Justo López, donde se presentaron los avances del Capítulo en cuanto a seminarios, labores sociales y diferentes acciones realizadas en este último año y el Plan de Trabajo 2023, presentando retos, dinámicas y actividades previstas para este año, teniendo dentro de los múltiples planes la Certificación Internacional ACI y la asistencia a la Convención Internacional ACI de San Francisco.

También, se presentaron los avances en cuanto a la Asociación Nacional de Estudiantes de Ingeniería Civíl (ANEIC) - UABC, incluyendo la asistencia a la Asamblea en Tuxtla Gutierrez, Chiapas, nueva imagen y los planes de la participación en la XXXIX OlimpiANEIC 2023, en el estado de Durango en el mes de Mayo.",0,"03/10/2023 21:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02s3T6wuzG7CFGkkxJmRy5gU3GyHwmDGsokTtQUmkK8LqQqWSsmkuTn4XaBcs12iGl,0,0,Foto,,,,,Total,13366,11280,,363,309,36,18,,3341,2073,1268,,,,,,,,
