"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Comentarios negativos de los usuarios: Ocultar todo","Comentarios negativos de los usuarios: Ocultar",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Impresiones del anuncio","Ingresos estimados (USD)"
800430818544367,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/15/2023 17:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid023sgrCZJoMxLmnZ8YZn5U91eEk33rvNy7QbEe7EVt1GciEyLMpGSyi2yhG649iaXbl,0,0,Foto,,,,,Total,7107,6592,204,189,6,9,955,241,714,,,,,,,,
801034241817358,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"💚🤍❤ ¡VIVA MÉXICO, CIMARRONES! 💚🤍❤

Así se vivieron las fiestas patrias en la Facultad de Ingeniería, al grito de “¡Viva México!” estudiantes, docentes y administrativos se unieron a la celebración, canto y festín en honor a la independencia de nuestra nación culminando con la fotografía grupal de nuestra comunidad universitaria.

¡Agradecemos a los Comités de Graduación y a SAFIM UABC por hacer el esfuerzo de llevar a cabo este evento para nuestra facultad y a todos los asistentes por ser parte de la celebración!

#SomosFIM #VIVAMEXICO #16deSeptiembre",0,"09/16/2023 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid029itqC3WnsrqRDNYmBBUaNndbGPvUokQn59FHuomVXjZUcboWv4ruaiUm7U2nntz5l,0,0,Foto,,,,,Total,10928,9433,156,145,3,8,3172,2138,1034,,,,,,,,
802058145048301,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,66,"09/18/2023 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid033aYJCHGvLQesL18wHStz6hDAyXjSfTpiw8Jjkoru4FWLnUuwthuzKbPd222vT6Yvl,0,1,Video,,,,,Total,1007,890,2,2,0,0,5,,5,,,,,,,,
802058645048251,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¿Listo para liberar tu creatividad? ¡Se parte del hackathon más grande del mundo!

La Universidad Autónoma de Baja California, Facultad de Ingeniería campus Mexicali y el Club de Investigación RAMS Aerospace en alianza buscan impulsar el desarrollo de competencias de emprendimiento, ciencia, tecnología, ingeniería y la innovación, por tanto, los invita a participar en el Concurso Internacional NASA SPACE APPS 2023 🚀🛰
Dirigido a estudiantes de secundaria, preparatoria y licenciatura.
Fecha: 6 al 9 de octubre, Mexicali, B.C.
Para más detalles de la convocatoria consultar la siguiente liga:

https://docs.google.com/document/d/1veoooTWxwWrsFe0k8YvvJugOJz4pHiIddWLSc3uhKLE

¡Estén pendientes a más detalles!
¡Participa!",0,"09/18/2023 08:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02psNZhWTHgYUk2Jee77gZ2i34BePmtQomS9WfoV5vN7jGDk41EVQJEAuxqfTkHUESl,0,0,Foto,,,,,Total,3533,3264,34,28,0,6,150,97,26,27,,,,,,,
802086371712145,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"💚🤍❤ ¡VIVA MÉXICO, CIMARRONES! 💚🤍❤
#SomosFIM #VIVAMEXICO #16deSeptiembre",44,"09/18/2023 10:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0URgLd8ZDxvC6qBdYL7i5nTqw3NGQfB8adrZeqNPH6Z2PpwpgoAK1Pjopd7MPKkCdl,0,0,"Reel de Facebook",,,,,Total,1494,1309,11,9,0,2,0,,,,,,1099,4979.521,4.568,0,
802233981697384,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/18/2023 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02m3nVzJ6a26iknbagwwDRJ9nxdwPH9E43bWrcxvCCAwHzDiicsCgWd88MxSm8xSoJl,0,0,Foto,,,,,Total,2610,2360,8,8,0,0,58,38,20,,,,,,,,
802652528322196,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/19/2023 09:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid04DM4aG4PuHAGi8SSEoU8XsSdr9ekyXKw281LVe9ZmzT6w6dDX7da6qKB74UjTvM9l,0,0,Foto,,,,,Total,2229,2068,10,8,1,1,27,20,7,,,,,,,,
802652928322156,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/19/2023 09:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0NyQZTSV1FMoheEFXagpxsjEA6LkV9KXWvHuVEue43GjrHPRYizM5qCr91E6ykpeWl,0,0,Foto,,,,,Total,1447,1258,5,4,0,1,28,20,8,,,,,,,,
803237591597023,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/20/2023 10:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02dXbm4qgi7QZJPvKYdqbbxti4MMuyZL3CcM2C8t57msbMaZhLGAydYdXkFaLvF9Vcl,0,0,Foto,,,,,Total,2446,2213,19,13,2,4,39,18,21,,,,,,,,
803319004922215,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimada Comunidad FIM, están cordialmente invitados al Primer PODCAST DE LA FIM. Este viernes 22 de septiembre a las 12 pm. por Facebook de la FIM. https://www.facebook.com/fimuabc",0,"09/20/2023 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02HUBg3pVcC6ML3nSeAGo1YeqSgNZZy2KYg3BCfd82jNfdKNsUvPR7k57AcAcLMRtpl,0,0,Foto,,,,,Total,1546,1376,2,2,0,0,17,10,7,,,,,,,,
803320978255351,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/20/2023 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0zDvqWMEhQzkD8TXPoWqVffWmsj7FmSgkDz6TjB7MzSzDZ3xPGSeFYvS7wZpZPTzql,0,0,Foto,,,,,Total,1575,1388,4,3,0,1,32,29,3,,,,,,,,
803321424921973,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"09/20/2023 15:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0iucbD5rytnoQDnUcjLm2KKkehJd7i8Lfmy9WXB9VTPSfARd9vux6fWmLiwPacf4ql,0,1,Foto,,,,,Total,6397,6025,112,105,5,2,754,99,655,,,,,,,,
803334994920616,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El programa educativo en Licenciatura en Sistemas Computacionales y el Subcomité Académico por Campo de Conocimiento de Computación del programa de Maestría y Doctorado en Ciencias e Ingeniería (MyDCI) los invitamos al Seminario Semestral Píldoras i+D con la conferencia:
""GPT: Alcances y riesgos"" con la participación del M.C. Antonio de Jesús García Chávez quien es estudiante de Doctorado del MyDCI en UABC Ensenada

Fecha y hora: 22 de septiembre de 12:00 a 13:00 hrs (PST)
Nota: Asistir al Seminario Semestral Píldoras i+D te permite obtener créditos (3 conferencias = 1 CR)
Transmisión en línea desde los siguientes enlaces:
meet.google.com/vzi-bpri-udh
facebok.com/LSC.FIM.UABC",0,"09/20/2023 16:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02qAQhR8C8WUoNVnt2i6pvNNVdRd6XdKT7yYsFJBB2hFuK4tdnAQiwFjaJRqRumePcl,0,0,Foto,,,,,Total,2415,2187,3,3,0,0,40,17,14,9,,,,,,,
803780638209385,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/21/2023 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0UsnD7ZwMr4P6CaBCEjgsijCw9naJc3MdkBmjHxL4zwW75RgGUy5SFnT5jNhJ8iTsl,0,0,Foto,,,,,Total,2470,2273,6,6,0,0,34,20,14,,,,,,,,
803798968207552,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/21/2023 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0QULYjXcWPbKcwiV9iGg2JtoGxDJh2TtfSU1rfbx4ryywxJBx9tdEcwzvgi1tDRUpl,0,0,Foto,,,,,Total,7693,5437,37,17,2,18,88,57,31,,,,,,,,
803915388195910,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy inauguramos el 14vo Ciclo de Conferencias de ""Jueves de Ciencia"" Edición 2023-2, una de las mejores tradiciones de la Facultad de Ingeniería campus Mexicali donde académicos, ponentes e invitados nacionales e internacionales exponen sus investigaciones y proyectos de carácter científico, académico y en las disciplinas de la ingeniería.

Agradecemos a las autoridades institucionales y académicas que se hicieron presentes en la ceremonia celebrando la inauguración incluyendo nuestra Directora, Dra. Araceli Celina Justo Lopez, y a la Coordinadora de Investigación y Posgrado, Dra. Wendy Flores Fuentes, al darnos sus palabras de gran inspiración.

Felicitamos al Dr. Marco A. Montoya A. y al Dr. Alejandro Sánchez A , al ser la primera conferencia del ciclo y presentar la conferencia: Investigación para la mejora de la infraestructura de transporte y la movilidad urbana.

¡Nos vemos en este siguiente Jueves de Ciencia!
#SomosFIM",0,"09/21/2023 20:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02D3m1DxNnNytaxDM1X4yMf1wwn9odCpa42zErVC5mweJxoairWfWbq2bUTG9Eiv8Ml,0,0,Foto,,,,,Total,6931,6099,161,147,11,3,1390,993,397,,,,,,,,
