Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
01/03/2022 19:01,49,46,0,5,0,5
01/10/2022 17:01,58,53,0,1,6,7
01/11/2022 13:01,151,122,5,9,1,13
01/11/2022 17:01,142,121,11,8,1,67
01/14/2022 12:01,17,17,0,1,0,9
01/14/2022 12:01,31,30,0,1,0,6
01/20/2022 13:01,50,44,0,2,0,22
01/21/2022 06:01,14,14,0,0,0,0
01/21/2022 22:01,27,26,2,1,0,4
01/24/2022 13:01,90,85,31,4,24,38
01/24/2022 15:01,50,46,0,3,2,6
01/26/2022 14:01,25,25,0,0,0,2
01/26/2022 15:01,31,29,0,2,1,2
01/26/2022 21:01,21,21,0,0,1,2
01/31/2022 17:01,381,333,0,10,21,28
02/01/2022 12:02,70,65,4,4,7,10
02/01/2022 13:02,47,44,0,2,0,1
02/01/2022 13:02,22,22,0,0,0,0
02/02/2022 08:02,525,471,5,4,33,8
02/03/2022 09:02,27,27,0,1,0,8
02/03/2022 15:02,52,51,0,0,1,1
02/04/2022 11:02,60,55,1,2,4,2
02/04/2022 17:02,353,326,0,7,14,5
02/08/2022 10:02,25,25,0,1,0,0
02/08/2022 13:02,26,26,0,0,0,3
02/09/2022 15:02,39,39,0,1,2,2
02/10/2022 11:02,42,41,0,2,0,2
02/10/2022 18:02,109,100,0,3,3,28
02/11/2022 09:02,26,26,0,0,0,6
02/11/2022 09:02,100,87,0,18,1,49
02/11/2022 16:02,32,30,0,2,1,11
02/14/2022 14:02,32,31,0,0,0,0
02/14/2022 17:02,90,70,3,3,3,21
02/15/2022 08:02,381,337,17,9,16,19
02/16/2022 10:02,30,30,0,0,0,0
02/16/2022 15:02,30,30,0,1,1,0
02/16/2022 16:02,27,27,0,0,1,0
02/16/2022 17:02,37,37,1,0,3,2
02/21/2022 08:02,51,49,1,3,0,14
02/21/2022 10:02,32,32,0,0,0,1
02/25/2022 11:02,29,29,0,0,0,0
02/25/2022 11:02,62,59,0,1,0,1
02/25/2022 14:02,69,67,0,0,4,0
02/25/2022 16:02,274,228,6,7,2,5
02/25/2022 18:02,33,33,0,0,0,0
03/01/2022 17:03,30,30,0,0,0,0
03/01/2022 17:03,36,35,0,1,0,3
