@relation DatasetLimpioFormateado

@attribute Mes numeric
@attribute Dia numeric
@attribute Year numeric
@attribute Hora numeric
@attribute Impresiones numeric
@attribute Alcance numeric
@attribute Reacciones numeric

@data
9,14,2022,909,5611,5227,20
4,23,2022,604,82,76,1
2,21,2023,542,8572,5179,60
9,24,2022,789,8059,7775,141
9,28,2022,729,4375,4053,29
12,14,2023,1032,5612,4795,48
12,7,2023,852,3616,2641,76
12,16,2022,552,3096,2204,3
4,12,2023,664,4221,3776,13
4,27,2022,1024,150,136,1
9,22,2022,1269,2914,2715,24
8,18,2023,488,3305,2726,7
5,18,2023,845,7793,5307,40
2,10,2023,542,1582,1267,4
11,6,2023,971,6586,6149,104
8,24,2023,728,2871,2411,4
4,12,2023,784,9142,5728,84
3,29,2022,543,48,45,0
5,24,2023,1205,3207,2480,79
10,13,2023,550,2942,2545,3
1,14,2022,721,31,30,6
12,11,2023,972,13113,9811,114
9,22,2022,1089,1457,1314,2
5,18,2023,545,2354,1995,12
3,8,2023,843,2217,1867,30
11,4,2022,851,8130,7388,160
6,14,2023,486,4018,3041,39
10,24,2023,910,2987,2776,45
8,31,2023,848,4213,3439,36
2,10,2022,1082,109,100,28
8,22,2023,608,3155,2896,0
11,12,2023,971,10240,8955,372
9,26,2022,789,862,782,2
4,13,2023,604,2530,2264,15
10,19,2023,910,1295,1131,2
4,30,2023,1084,1938,1725,25
10,18,2023,910,3390,2946,35
11,3,2023,1031,2,2,39
2,25,2022,842,69,67,0
1,27,2023,661,6434,5744,27
1,31,2022,1021,381,333,28
6,7,2023,546,2249,1646,1
3,11,2022,1143,49,49,17
8,10,2023,488,1930,1691,3
6,6,2023,546,6842,6188,128
11,24,2022,971,8325,6274,76
9,20,2023,609,2446,2213,13
2,14,2022,1022,90,70,21
10,18,2023,610,1785,1641,2
10,11,2023,670,2430,2255,1
8,1,2023,488,5094,4157,3
5,29,2023,605,2489,1993,1
5,24,2023,725,3627,2976,11
12,22,2023,672,2427,1772,8
2,7,2023,602,2010,1775,7
2,22,2023,722,11094,8261,225
8,16,2023,968,2073,1716,13
12,15,2023,732,2153,1628,17
2,7,2023,542,1609,1305,6
5,23,2022,485,588,503,1
4,18,2023,544,3236,2715,37
8,28,2023,548,3670,3154,5
9,6,2023,1149,2141,1905,10
2,25,2022,662,29,29,0
1,2,2023,541,9118,6671,41
2,20,2023,902,5256,4754,61
8,10,2023,668,2172,1895,6
3,10,2022,543,61,61,5
10,24,2022,610,2037,1862,4
3,16,2022,603,45,41,2
4,25,2023,964,2189,1972,5
5,18,2023,905,6951,4541,42
5,15,2022,485,404,344,4
6,10,2022,546,3532,1935,0
5,12,2023,545,2143,1604,1
3,21,2023,543,4133,3854,45
1,24,2022,781,90,85,38
3,15,2022,903,108,99,3
3,1,2023,1023,4042,3802,28
6,29,2022,1026,5763,3412,6
2,11,2022,962,32,30,11
2,4,2022,1022,353,326,5
10,11,2023,670,3096,2685,8
3,29,2022,543,50,46,1
4,13,2023,664,2311,1941,17
1,23,2023,601,1687,1452,7
2,21,2023,602,3151,2811,3
12,18,2023,972,3121,2507,11
3,13,2023,843,2984,2652,15
9,27,2022,669,2584,2304,14
11,22,2023,791,2374,2011,1
3,11,2022,1083,43,42,4
8,18,2023,788,3918,3370,30
3,31,2022,1083,50,47,0
9,29,2022,849,1297,1164,1
11,1,2022,611,6367,6111,120
11,28,2023,911,3138,2788,7
10,6,2023,550,1398,1169,5
3,4,2022,663,41,41,30
9,22,2022,849,1011,918,25
11,14,2023,491,2482,2279,1
9,12,2022,549,2148,1890,9
10,6,2023,1030,2286,1910,4
2,25,2022,662,62,59,1
4,18,2022,724,71,66,1
4,13,2023,724,1164,972,9
9,24,2023,669,4195,3907,25
11,24,2023,911,6560,5586,47
3,22,2022,1203,46,44,1
11,6,2023,731,3898,3555,27
11,14,2023,731,2046,1768,19
6,16,2023,726,3594,2685,5
5,23,2023,1145,2439,1998,39
9,7,2023,489,1386,1238,0
9,26,2022,669,3188,3094,15
8,9,2023,668,1576,1380,4
6,26,2023,486,2419,1938,6
2,7,2023,482,1147,961,1
11,10,2023,671,1778,1619,1
10,19,2023,610,1305,1159,13
12,21,2023,672,2830,2147,4
2,17,2023,782,5021,4382,19
11,23,2023,731,2861,2601,30
5,11,2023,725,2775,2167,4
9,11,2023,969,3731,3329,25
5,26,2022,965,2071,1652,39
6,3,2022,1026,10918,6809,86
4,26,2022,1024,86,81,1
10,19,2023,670,2659,2006,58
6,13,2023,846,2649,1953,9
5,18,2023,905,2062,1610,0
3,8,2023,903,6831,6100,58
3,23,2022,663,43,41,4
10,28,2022,550,3511,3131,13
4,12,2023,1024,2607,2474,4
2,10,2022,662,42,41,2
10,27,2023,1030,2562,2282,3
9,8,2023,729,1070,900,2
2,1,2023,542,3714,2929,23
9,21,2023,1209,6931,6099,147
2,1,2022,782,22,22,0
5,11,2023,725,4945,4120,26
4,18,2022,844,73,67,1
11,14,2023,491,2806,2477,6
1,23,2023,661,1995,1803,1
9,5,2023,1029,1119,972,2
3,27,2023,963,4103,3555,26
5,13,2022,1025,390,341,0
2,27,2023,782,3587,3259,91
8,20,2023,548,4595,3789,18
10,18,2022,1150,1593,1483,14
8,15,2023,548,3125,2715,7
9,19,2022,669,5237,4655,53
9,13,2023,969,2735,2484,8
11,30,2023,1091,1742,1524,1
9,27,2022,909,2391,2310,3
5,19,2023,545,2107,1709,5
10,9,2023,1150,6417,5318,49
12,5,2022,612,4721,3471,13
6,28,2023,546,7187,5626,72
5,17,2022,605,378,334,4
1,16,2023,1081,2489,1917,30
3,28,2022,603,49,46,21
8,24,2023,488,1827,1582,2
3,11,2022,1023,39,39,1
7,2,2023,787,3788,2855,17
9,21,2023,789,2470,2273,6
11,24,2023,1211,5791,5073,22
9,28,2022,489,897,834,1
6,14,2023,546,3297,2434,4
8,31,2023,1208,2174,1775,23
4,1,2023,664,2165,1933,21
6,14,2023,906,2583,1902,15
8,8,2023,728,4577,3975,50
3,30,2023,903,7108,6413,166
3,18,2022,903,670,563,1
1,25,2023,601,7290,6550,311
10,16,2023,670,2674,2354,19
6,8,2023,726,2495,1721,7
5,11,2023,605,2364,1845,9
12,16,2022,1032,4693,3418,41
10,7,2023,970,5370,4487,51
11,25,2023,971,1970,1695,1
11,23,2023,551,2281,1993,5
5,29,2023,605,2658,2110,2
11,23,2022,851,2419,2107,7
5,31,2023,1085,4000,2959,6
2,25,2022,962,274,228,5
12,14,2022,792,7255,5256,136
4,10,2023,664,1997,1865,17
12,24,2023,1212,3835,2933,23
3,29,2023,1083,5345,5038,48
3,25,2023,783,5378,4946,451
5,18,2023,545,1827,1524,5
3,8,2023,543,4879,4523,31
10,28,2023,1150,3334,2929,16
2,13,2023,542,6896,6523,157
10,27,2023,970,0,0,23
3,27,2023,543,3264,3032,28
5,9,2023,545,3280,2528,8
10,28,2022,550,7883,7178,204
8,3,2023,488,8775,6533,81
3,29,2022,603,130,102,0
8,14,2023,548,1855,1695,2
2,9,2022,902,39,39,2
3,9,2022,723,54,50,9
9,28,2022,489,1702,1623,5
3,10,2023,723,2487,2261,12
2,23,2023,842,1960,1791,2
9,6,2023,1149,4021,3690,43
8,25,2023,788,4398,3887,50
6,11,2023,846,2456,1693,12
9,30,2022,609,2690,2501,11
10,24,2022,550,2254,2204,2
2,24,2023,602,2179,1833,4
3,1,2022,1203,51,50,0
8,10,2023,668,2415,1959,9
5,17,2023,725,3553,2867,8
1,28,2023,721,1624,1416,9
12,20,2023,972,2919,2243,10
11,12,2023,1091,7474,6655,96
3,18,2022,1083,44,41,1
6,20,2023,726,3833,2904,19
10,18,2023,610,1489,1382,1
6,12,2023,726,4002,3145,3
10,18,2023,910,1953,1677,18
12,11,2023,792,3105,2494,12
10,27,2023,970,2198,1910,3
2,8,2022,602,25,25,0
2,16,2022,962,27,27,0
3,1,2022,1023,36,35,3
5,9,2023,545,12746,9741,67
4,26,2022,1024,95,89,0
5,19,2023,1025,3570,2929,32
4,10,2023,724,1208,1081,2
9,5,2023,1089,1536,1368,9
11,3,2023,1271,5084,4694,56
1,26,2022,841,25,25,2
1,12,2023,541,4231,3499,21
2,15,2022,482,381,337,19
5,18,2022,545,438,381,7
3,13,2023,963,4751,4299,41
9,26,2023,1029,2493,2184,12
4,25,2022,544,93,87,0
5,2,2023,725,6319,4196,101
1,29,2023,901,5515,4578,39
9,18,2023,489,3533,3264,28
2,14,2022,842,32,31,0
3,17,2022,663,42,40,0
5,29,2023,545,1894,1531,0
3,6,2023,1023,5165,4785,64
9,15,2022,1389,4506,4196,27
10,12,2022,610,4774,4203,134
1,10,2022,1021,58,53,7
5,12,2023,725,5011,3714,23
4,26,2022,724,194,174,3
5,6,2022,1025,202,184,0
4,4,2022,1144,58,55,0
2,8,2023,542,2608,2234,9
4,13,2023,604,1842,1617,7
2,1,2023,482,1298,1091,0
4,13,2023,604,2666,2518,75
3,8,2022,543,107,100,17
4,11,2023,844,3072,2815,6
5,3,2022,1025,180,160,4
10,28,2022,550,14435,12923,593
2,3,2022,542,27,27,8
3,9,2022,903,38,38,11
1,13,2023,781,4679,3941,9
5,18,2023,545,2446,2071,3
3,17,2022,543,238,219,2
4,5,2022,544,84,81,2
5,11,2023,785,2337,1737,3
5,25,2022,485,1139,909,4
5,23,2022,485,585,503,41
1,11,2023,601,6355,5408,23
9,28,2022,489,1097,1005,1
5,24,2023,545,2567,2178,3
2,8,2022,782,26,26,3
9,26,2022,549,3492,3211,102
12,8,2023,552,3334,2584,19
2,16,2022,602,30,30,0
8,1,2023,668,4478,4053,35
3,31,2022,723,53,49,6
10,24,2022,610,3638,3482,47
10,3,2023,550,4623,4082,38
6,14,2023,1026,5152,4180,47
4,26,2022,1024,89,83,0
5,31,2023,1085,2810,2118,12
12,4,2023,672,1823,1410,5
3,29,2022,603,56,54,21
7,3,2023,547,20416,15527,398
11,16,2023,851,3450,3067,4
5,18,2022,1085,1374,1096,43
9,22,2022,849,1231,1033,24
5,26,2023,605,6089,4869,26
8,21,2023,488,8081,6426,82
