Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
01,03,2022,1141,49,46,0,5,0,5
01,10,2022,1021,58,53,0,1,6,7
01,11,2022,781,151,122,5,9,1,13
01,11,2022,1021,142,121,11,8,1,67
01,14,2022,721,17,17,0,1,0,9
01,14,2022,721,31,30,0,1,0,6
01,20,2022,781,50,44,0,2,0,22
01,21,2022,361,14,14,0,0,0,0
01,21,2022,1321,27,26,2,1,0,4
01,24,2022,781,90,85,31,4,24,38
01,24,2022,901,50,46,0,3,2,6
01,26,2022,841,25,25,0,0,0,2
01,26,2022,901,31,29,0,2,1,2
01,26,2022,1261,21,21,0,0,1,2
01,31,2022,1021,381,333,0,10,21,28
02,01,2022,722,70,65,4,4,7,10
02,01,2022,782,47,44,0,2,0,1
02,01,2022,782,22,22,0,0,0,0
02,02,2022,482,525,471,5,4,33,8
02,03,2022,542,27,27,0,1,0,8
02,03,2022,902,52,51,0,0,1,1
02,04,2022,662,60,55,1,2,4,2
02,04,2022,1022,353,326,0,7,14,5
02,08,2022,602,25,25,0,1,0,0
02,08,2022,782,26,26,0,0,0,3
02,09,2022,902,39,39,0,1,2,2
02,10,2022,662,42,41,0,2,0,2
02,10,2022,1082,109,100,0,3,3,28
02,11,2022,542,26,26,0,0,0,6
02,11,2022,542,100,87,0,18,1,49
02,11,2022,962,32,30,0,2,1,11
02,14,2022,842,32,31,0,0,0,0
02,14,2022,1022,90,70,3,3,3,21
02,15,2022,482,381,337,17,9,16,19
02,16,2022,602,30,30,0,0,0,0
02,16,2022,902,30,30,0,1,1,0
02,16,2022,962,27,27,0,0,1,0
02,16,2022,1022,37,37,1,0,3,2
02,21,2022,482,51,49,1,3,0,14
02,21,2022,602,32,32,0,0,0,1
02,25,2022,662,29,29,0,0,0,0
02,25,2022,662,62,59,0,1,0,1
02,25,2022,842,69,67,0,0,4,0
02,25,2022,962,274,228,6,7,2,5
02,25,2022,1082,33,33,0,0,0,0
03,01,2022,1023,30,30,0,0,0,0
03,01,2022,1023,36,35,0,1,0,3
03,01,2022,1203,51,50,0,0,2,0
03,02,2022,603,72,69,7,9,1,22
03,04,2022,663,41,41,0,0,2,30
03,04,2022,903,118,108,2,0,10,109
03,05,2022,363,36,36,0,0,1,0
03,05,2022,1023,36,36,0,0,1,11
03,08,2022,543,107,100,0,8,0,17
03,09,2022,723,54,50,1,5,0,9
03,09,2022,903,38,38,0,0,0,11
03,10,2022,543,61,61,0,1,1,5
03,11,2022,663,145,134,12,8,7,47
03,11,2022,843,42,42,0,0,0,19
03,11,2022,1023,98,95,0,0,4,16
03,11,2022,1023,39,39,0,0,0,1
03,11,2022,1083,45,45,0,1,0,4
03,11,2022,1083,43,42,0,1,0,4
03,11,2022,1143,49,49,0,0,0,17
03,14,2022,603,47,47,0,0,2,12
03,14,2022,603,39,38,0,0,0,4
03,14,2022,603,43,41,0,2,0,3
03,14,2022,963,46,45,0,0,1,14
03,15,2022,603,53,53,0,1,4,12
03,15,2022,903,108,99,4,8,2,3
03,15,2022,963,62,60,0,0,2,3
03,15,2022,963,67,62,0,1,1,3
03,16,2022,483,66,62,0,0,0,0
03,16,2022,543,40,39,0,0,0,1
03,16,2022,603,51,49,0,0,0,8
03,16,2022,603,45,41,0,1,2,2
03,17,2022,543,238,219,0,3,7,2
03,17,2022,663,42,40,0,0,0,0
03,17,2022,783,68,66,0,0,2,14
03,17,2022,843,43,41,0,0,1,1
03,18,2022,543,58,56,0,0,0,3
03,18,2022,903,670,563,0,0,19,1
03,18,2022,903,43,41,0,0,0,0
03,18,2022,903,791,639,0,0,61,0
03,18,2022,1083,44,41,0,0,1,1
03,22,2022,843,75,69,0,0,9,5
03,22,2022,1203,46,44,0,0,0,1
03,23,2022,663,43,41,0,0,0,4
03,24,2022,723,138,132,3,0,10,17
03,24,2022,903,55,51,1,1,0,2
03,25,2022,1023,118,108,0,1,3,4
