UABC_FIM_ICO_IA_2024-1_PROYECTO_FINAL_TESTING2
Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
5,9,2023,905,8762,5321,1,3,1406,53
8,17,2023,728,1410,1178,0,0,6,3
5,24,2023,1145,3098,2325,5,3,248,57
2,1,2023,902,6701,5245,24,9,17,50
2,21,2022,602,32,32,0,0,0,1
9,20,2023,909,1575,1388,0,1,32,3
9,6,2023,1029,5815,5554,2,0,1020,69
2,1,2022,782,47,44,0,2,0,1
1,30,2023,721,4525,4142,3,1,1,5
6,10,2022,786,5828,3482,2,2,67,38
6,30,2023,1026,12079,8401,27,7,2670,180
9,14,2022,669,3237,2681,1,2,1,12
8,3,2023,548,1990,1646,0,0,8,6
4,22,2022,964,79,74,0,0,1,0
3,15,2022,963,62,60,0,0,2,3
2,8,2023,842,14014,12613,170,52,14,236
8,4,2023,488,5650,4913,2,3,675,50
12,13,2022,852,6905,5409,5,2,3,83
1,6,2023,781,3012,2255,14,0,0,14
3,23,2023,543,3163,2884,26,2,1,29
9,11,2023,549,5191,4514,2,9,348,42
10,9,2023,790,10288,8214,8,14,1930,239
2,28,2023,662,3882,3324,10,0,1,11
4,26,2023,604,4779,4127,15,3,590,81
10,3,2022,490,4906,4434,0,12,1,51
4,25,2022,544,99,93,0,1,0,2
4,10,2023,904,2057,1925,0,0,55,7
5,5,2022,905,193,174,0,0,0,2
3,9,2023,1023,6592,4349,28,0,2,30
2,24,2023,602,1976,1751,4,2,2,81
11,25,2023,791,1968,1711,0,0,25,0
3,14,2022,603,39,38,0,0,0,4
5,4,2022,545,181,161,0,0,1,0
12,16,2022,552,7739,5921,81,4,2,213
9,30,2022,969,1648,1478,0,0,1,20
3,30,2022,963,56,52,17,2,0,30
5,11,2023,545,4870,3532,0,3,480,11
5,23,2022,1205,755,627,1,2,5,10
2,1,2023,902,4548,3961,12,1,1,14
5,1,2023,1205,1624,1452,0,0,10,12
3,30,2022,543,50,48,0,1,0,4
8,16,2023,488,5,3,1,0,1,17
1,30,2023,721,2355,2113,16,0,0,16
2,20,2023,662,1556,1351,3,0,0,3
3,26,2023,1203,6794,4607,33,1,2,36
10,12,2023,490,2262,2113,0,1,12,7
2,10,2023,1022,3278,2843,27,2,5,34
2,8,2023,1202,31642,20073,203,24,23,250
1,26,2023,721,1776,1524,2,0,0,2
3,11,2022,843,42,42,0,0,0,19
12,11,2023,972,2967,2261,0,2,32,20
8,25,2023,728,6458,6088,1,1,555,160
5,23,2022,485,791,639,2,2,4,4
5,23,2022,845,749,635,1,3,3,1
2,1,2023,902,3180,2594,18,1,0,19
3,2,2023,843,1221,1071,10,0,0,10
10,19,2023,490,1361,1218,0,1,7,1
1,3,2022,1081,65,60,10,4,3,21
11,3,2023,551,1423,1212,0,1,5,2
6,30,2023,546,2649,2099,0,0,26,14
11,8,2023,611,3173,2946,0,2,40,10
12,20,2023,552,2307,1768,0,0,15,14
11,29,2023,551,3594,3090,0,0,127,12
4,18,2023,544,1598,1424,0,0,12,7
9,15,2023,1029,7107,6592,6,9,955,189
11,2,2023,911,5366,4980,0,5,960,58
3,16,2022,603,51,49,0,0,0,8
9,28,2023,549,5304,4408,11,15,319,143
1,3,2022,1141,49,46,0,5,0,5
10,6,2023,1030,2666,2246,0,3,28,17
5,24,2023,485,3173,2580,8,3,291,26
5,29,2023,545,1916,1547,0,0,30,8
9,18,2023,609,1494,1309,0,2,0,9
3,14,2022,603,43,41,0,2,0,3
10,5,2022,730,6500,5578,82,7,1,394
5,3,2023,545,4464,3666,2,2,448,22
6,16,2023,666,6931,4365,3,5,550,25
10,18,2022,670,3661,3350,0,12,1,34
3,14,2022,603,47,47,0,0,2,12
2,2,2022,482,525,471,5,4,33,8
