ID,Prediccion,Realidad
1,72.0,53.0
2,4.3,3.0
3,20.8,57.0
4,59.6,50.0
5,7.3,1.0
6,4.2,3.0
7,68.3,69.0
8,5.0,1.0
9,52.0,5.0
10,56.0,38.0
11,235.7,180.0
12,13.6,12.0
13,4.8,6.0
14,5.9,0.0
15,3.4,3.0
16,323.0,236.0
17,52.4,50.0
18,52.3,83.0
19,5.9,14.0
20,14.8,29.0
21,48.3,42.0
22,176.7,239.0
23,31.1,11.0
24,48.8,81.0
25,40.6,51.0
26,10.0,2.0
27,8.9,7.0
28,4.1,2.0
29,44.6,30.0
30,7.3,81.0
31,5.9,0.0
32,7.4,4.0
33,13.0,0.0
34,136.2,213.0
35,6.3,20.0
36,5.4,30.0
37,39.1,11.0
38,11.5,10.0
39,58.5,14.0
40,5.9,12.0
41,5.2,4.0
42,4.3,17.0
43,7.2,16.0
44,4.3,3.0
45,52.0,36.0
46,8.5,7.0
47,18.6,34.0
48,462.1,250.0
49,4.6,2.0
50,2.8,19.0
51,9.5,20.0
52,90.8,160.0
53,26.1,4.0
54,32.8,1.0
55,19.2,19.0
56,13.3,10.0
57,2.3,1.0
58,8.5,21.0
59,3.6,2.0
60,17.2,14.0
61,15.3,10.0
62,5.5,14.0
63,22.0,12.0
64,3.2,7.0
65,125.0,189.0
66,56.6,58.0
67,8.6,8.0
68,48.3,143.0
69,5.8,5.0
70,17.3,17.0
71,11.9,26.0
72,4.7,8.0
73,4.4,9.0
74,8.6,3.0
75,60.8,394.0
76,41.1,22.0
77,52.0,25.0
78,35.3,34.0
79,8.6,12.0
80,28.7,8.0
81,23.0,25.0
82,86.9,46.0
83,12.7,18.0
84,56.7,28.0
85,7.9,10.0
86,26.9,11.0
87,35.5,25.0
88,95.2,40.0
89,5.0,2.0
90,8.5,1.0
91,11.0,5.0
92,21.0,17.0
93,3.6,1.0
94,42.1,22.0
95,63.9,19.0
96,115.7,115.0
97,28.2,11.0
98,8.5,14.0
99,8.4,0.0
100,14.4,34.0
101,2.7,1.0
102,100.0,58.0
103,9.6,42.0
104,8.5,4.0
105,16.4,14.0
106,16.4,6.0
107,98.9,46.0
108,10.2,15.0
109,26.1,19.0
110,3.4,6.0
111,144.4,395.0
112,28.4,26.0
113,58.4,170.0
114,46.9,17.0
115,8.9,7.0
116,12.8,9.0
117,3.5,2.0
118,3.9,3.0
119,6.0,1.0
120,15.3,2.0
121,14.7,11.0
122,12.8,62.0
123,417.7,255.0
124,44.0,38.0
125,31.0,13.0
126,3.7,2.0
127,8.2,38.0
128,4.1,0.0
129,2.9,14.0
130,7.5,13.0
131,180.8,406.0
132,86.3,136.0
133,4.7,3.0
134,13.0,14.0
135,10.5,0.0
136,31.3,15.0
137,12.4,1.0
138,8.0,3.0
139,32.7,52.0
140,80.8,455.0
141,24.1,17.0
142,2.8,0.0
143,39.6,18.0
144,25.6,18.0
145,9.6,0.0
146,31.9,21.0
147,87.0,103.0
148,15.7,14.0
149,16.9,2.0
150,7.6,0.0
151,43.2,63.0
152,12.1,2.0
153,14.6,18.0
154,54.2,32.0
155,43.3,71.0
156,16.0,11.0
157,4.6,10.0
158,87.2,97.0
159,35.0,26.0
160,4.3,4.0
161,9.2,30.0
162,16.4,15.0
163,9.4,30.0
164,7.7,5.0
165,29.8,18.0
166,25.6,2.0
167,5.5,2.0
168,12.7,0.0
169,47.9,7.0
170,36.8,157.0
171,5.9,11.0
172,94.3,87.0
173,7.5,11.0
174,321.2,437.0
175,84.3,66.0
176,9.6,3.0
177,24.9,3.0
178,26.1,12.0
179,22.9,19.0
180,29.4,2.0
181,3.1,1.0
182,23.4,14.0
183,8.8,3.0
184,7.5,0.0
185,7.8,9.0
186,18.3,6.0
187,16.2,61.0
188,8.3,0.0
189,28.8,28.0
190,2.8,1.0
191,5.4,11.0
192,4.1,0.0
193,25.1,17.0
194,5.3,5.0
195,4.7,2.0
196,3.2,0.0
197,41.4,17.0
198,9.0,12.0
199,77.4,14.0
200,6.3,10.0
201,14.2,5.0
202,8.6,12.0
203,24.5,4.0
204,124.8,182.0
205,17.1,3.0
206,9.1,18.0
207,4.0,2.0
208,6.8,6.0
209,51.7,36.0
210,30.4,15.0
211,9.1,2.0
212,163.6,150.0
213,44.2,46.0
214,7.0,5.0
215,8.6,2.0
216,4.9,1.0
217,148.9,186.0
218,12.5,10.0
219,8.7,1.0
220,4.1,4.0
221,11.9,2.0
222,94.7,82.0
223,2.8,3.0
224,6.2,3.0
225,14.0,28.0
226,7.1,4.0
227,32.0,78.0
228,222.2,117.0
229,13.5,1.0
230,103.9,143.0
231,46.0,68.0
232,31.8,31.0
233,21.0,15.0
234,32.4,67.0
235,54.7,118.0
236,2.8,8.0
237,6.0,52.0
238,11.2,1.0
239,25.1,4.0
240,8.4,42.0
241,7.8,0.0
242,10.0,28.0
243,3.1,3.0
244,4.6,1.0
245,78.6,115.0
246,28.4,8.0
247,5.6,11.0
248,37.6,16.0
249,7.7,5.0
250,12.4,1.0
251,5.3,3.0
252,13.5,4.0
253,5.4,3.0
254,116.5,72.0
255,417.7,338.0
256,5.6,109.0
257,112.9,35.0
258,9.2,30.0
259,31.7,14.0
260,4.6,3.0
261,44.4,18.0
262,7.2,2.0
263,20.2,16.0
264,59.6,47.0
265,18.0,16.0
266,417.7,811.0
267,13.3,3.0
268,128.5,105.0
269,7.2,11.0
270,3.9,4.0
271,7.5,3.0
272,6.5,1.0
273,31.0,1.0
274,62.4,121.0
275,7.2,0.0
